1680911291000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911292000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911293000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911294000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911295000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911296000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911297000,1866.81000000,1866.81000000,1866.81000000,1866.81000000,0.00000000
1680911298000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.15670000
1680911299000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911300000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911301000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00910000
1680911302000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911303000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911304000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911305000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911306000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911307000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911308000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911309000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911310000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911311000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911312000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911313000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911314000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911315000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911316000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911317000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911318000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911319000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911320000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911321000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911322000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911323000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911324000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911325000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911326000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911327000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911328000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911329000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911330000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911331000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911332000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911333000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911334000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911335000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911336000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911337000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911338000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911339000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911340000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911341000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911342000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911343000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911344000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911345000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911346000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911347000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911348000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911349000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911350000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911351000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911352000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911353000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911354000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911355000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911356000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911357000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911358000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911359000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
1680911360000,1866.71000000,1866.71000000,1866.71000000,1866.71000000,0.00000000
